"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belgium","BEL","Cereal production (metric tons)","AG.PRD.CREL.MT","","1885559","2063184","1959365","2091825","1974178","1610763","2193351","2060519","1936803","1713892","2118812","2146215","2301305","2265845","1619716","1872856","1823334","2186720","2144554","2040803","2023015","2221844","1962443","2533386","2227168","2402767","2062716","2351145","2373537","2119214","2214793","2165192","2310758","2174310","2143882","2571285","2393193","2598660","2445489","2513100","2358600","2639300","2560990","2931988","2786575","2684227","2718733","3113270","3255409","3041408","2939102","2957908","3097497","3162852","3163733","2287774","2764392","2483008","","",
"Benin","BEN","Cereal production (metric tons)","AG.PRD.CREL.MT","","290434","286798","278549","294532","286772","262408","313677","291772","274553","284987","238061","271788","344166","335444","298579","277970","326072","417890","389148","345952","361635","352337","351157","483030","535415","496618","400650","556977","565013","545898","584864","609496","625249","645357","734332","714355","876553","867173","974484","993383","942790","1086000","1042770","1108856","1151853","1095952","1158679","1267588","1508142","1333436","1544233","1576091","1791888","1714040","1643227","1814289","1897504","2315556","","",
"Burkina Faso","BFA","Cereal production (metric tons)","AG.PRD.CREL.MT","","726079","895048","918153","1010600","953407","1000000","1035155","1084696","1037041","1065118","883608","880284","831365","1086580","1254319","995823","1109843","1169854","1180823","1047988","1270034","1209967","1119418","1089368","1583270","1889857","1637101","2100562","1951671","1517900","2454900","2478600","2527355","2232037","2307988","2481805","2013552","2656756","2699886","2279247","3109092","3119050","3564281","2901973","3649533","3680674","3108811","4358518","3626638","4560546","3666404","4898544","4869722","4469300","4189665","4567066","4063197","4991259","","",
"Bangladesh","BGD","Cereal production (metric tons)","AG.PRD.CREL.MT","","14523696","13408128","16042664","15842004","15852140","14464297","16876448","17160028","18187398","16905215","15088878","15323537","18021512","17105414","19322564","17908126","19772481","19984399","19658591","21698327","21591389","22339648","22990185","23256274","24134965","24266331","24304321","24449929","27886213","27746673","28326730","28516927","28177410","26325480","27704115","29620075","29673515","31577495","36403000","39503000","38029335","39341455","40015280","37759046","41146756","42044685","44841300","48946800","49735853","51862850","52628364","52801014","54357477","55241123","55438379","54262297","58495624","60817838","","",
"Bulgaria","BGR","Cereal production (metric tons)","AG.PRD.CREL.MT","","4403935","4466325","4507537","5232842","5307655","6823527","6531374","5285685","6080288","6788615","7076215","8152773","7329016","6608375","7706452","8492409","7577645","7491580","8290010","7647576","8449300","9967359","7931689","9249148","5382902","8492188","7275590","7816939","9527371","8125944","8983806","6593633","5697849","6441668","6543382","3403520","6187844","5378183","5221441","4388341","6076856","6770394","3814085","7462821","5839080","5531830","3870213","7015582","6243088","7136449","7521108","6988023","9153930","9530421","8570299","8752219","9475846","9931999","","",
"Bahrain","BHR","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Cereal production (metric tons)","AG.PRD.CREL.MT","","100","150","200","250","300","430","450","470","490","510","530","550","580","595","610","625","640","730","720","719","720","740","750","800","820","820","750","700","700","750","750","500","400","312","312","312","348","377","379","312","300","305","340","355","360","380","400","500","600","678","687","690","691","700","790","841","777","742","","",
"Bosnia and Herzegovina","BIH","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080400","962300","847400","671360","841400","1242059","1326660","1368792","930230","1137981","1307700","793364","1438704","1349772","1340995","1000576","1374701","1390724","1104907","1118257","905975","1222498","1082655","1137236","1657556","1167005","1743762","","",
"Belarus","BLR","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7135000","7329074","5951815","5329555","5496095","5937335","4510976","3427316","4579256","4885397","5723737","5132062","6604944","6104299","5700181","7029909","8728461","8169504","6741684","7996331","8843848","7233152","9033775","8186980","7075658","7529412","5813869","","",
"Belize","BLZ","Cereal production (metric tons)","AG.PRD.CREL.MT","","4848","3245","3856","5084","5819","4478","8328","9893","11181","19369","20424","20409","24267","20321","16646","24449","25644","25854","22090","27443","31967","29121","23722","21830","25209","22887","27818","28672","28572","29835","42005","38130","43640","34364","43264","55948","59873","52236","62300","47875","57267","56428","60036","53937","71758","53390","70153","59522","87276","98489","91768","91627","111934","94519","80959","91556","118376","99341","","",
"Bermuda","BMU","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Cereal production (metric tons)","AG.PRD.CREL.MT","","411470","418321","449507","381392","455106","434564","429601","480710","503075","478920","510860","491455","498445","516196","592260","631970","557490","557915","595580","625905","766100","700371","496789","865748","972965","839006","865495","834282","845276","792648","902497","952128","1113756","956890","1089553","1138598","944952","1157807","1137351","1244322","1324781","1315565","1462502","1255985","1659795","1865967","1733466","2052972","2378919","2133671","1988007","2125543","2503245","2449241","2934919","2660808","2278994","3267425","","",
"Brazil","BRA","Cereal production (metric tons)","AG.PRD.CREL.MT","","15036353","15918336","16616892","16469226","20350793","17867924","20322328","20418801","20549860","23698316","22814265","22703928","23721606","26240014","26238419","31143200","30913834","24033646","27147322","33217492","32050567","33838263","29197566","32711289","36011139","37298400","44148398","42905037","43934410","32490390","36682063","44057994","43073467","45845332","49641823","42436960","44874820","40742023","47631962","46527202","57125393","50875594","67454329","63953364","55670925","59148978","69441634","79745466","70914791","75160152","77586276","89908244","100901726","101402184","106027826","84167849","117979368","103064737","","",
"Barbados","BRB","Cereal production (metric tons)","AG.PRD.CREL.MT","","716","899","708","508","560","830","1000","1449","1754","1600","1400","2073","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2400","2000","2100","2100","2200","2200","2300","2100","1800","1600","1300","1100","800","650","520","390","300","250","218","263","250","260","270","280","268","263","260","269","320","340","81","122","96","74","109","","",
"Brunei Darussalam","BRN","Cereal production (metric tons)","AG.PRD.CREL.MT","","4908","5245","3868","3441","2946","3408","5523","5522","6782","6781","4381","4000","6116","9766","9882","7230","4259","3836","4615","2747","2494","2366","2676","3270","1082","1540","1080","1930","1560","930","880","740","790","785","508","446","446","446","200","299","350","372","547","620","851","886","983","911","891","1072","1480","1756","1237","1382","1983","1579","1527","1569","","",
"Bhutan","BTN","Cereal production (metric tons)","AG.PRD.CREL.MT","","98408","101378","104458","107233","110113","113000","116100","120200","123000","126000","128900","132000","134900","138200","141100","143600","146900","150100","154100","158100","163700","166230","171700","178891","167300","164350","139700","94871","94800","121320","100025","101312","116780","131911","149534","162307","169825","168081","151252","106650","115000","91437","106447","153969","192631","184653","190853","166007","143552","144634","184333","167800","159723","166902","175624","176094","188780","194612","","",
